order_id,order_placed_at,order_delivered_at,delivery_time_min,order_date,order_day,order_hour,is_late
1523111,2023-03-01 00:00:59,2023-03-01 00:18:07.443132,17.140718866666667,2023-03-01,Wednesday,0,False
1523112,2023-03-01 00:03:59,2023-03-01 00:19:34.925241,15.598754016666668,2023-03-01,Wednesday,0,False
1523113,2023-03-01 00:07:22,2023-03-01 00:22:28.291385,15.104856416666667,2023-03-01,Wednesday,0,False
1523114,2023-03-01 00:07:47,2023-03-01 00:46:19.019399,38.53365665,2023-03-01,Wednesday,0,True
1523115,2023-03-01 00:09:03,2023-03-01 00:25:13.619056,16.17698426666667,2023-03-01,Wednesday,0,False
1523116,2023-03-01 00:09:44,2023-03-01 00:25:17.088349,15.551472483333333,2023-03-01,Wednesday,0,False
1523117,2023-03-01 00:11:09,2023-03-01 00:41:54.245295,30.75408825,2023-03-01,Wednesday,0,False
1523118,2023-03-01 00:13:25,2023-03-01 00:30:38.556491,17.22594151666667,2023-03-01,Wednesday,0,False
1523119,2023-03-01 00:15:20,2023-03-01 00:30:28.234367,15.137239450000001,2023-03-01,Wednesday,0,False
1523120,2023-03-01 00:15:34,2023-03-01 00:31:53.026195,16.31710325,2023-03-01,Wednesday,0,False
1523121,2023-03-01 00:21:45,2023-03-01 00:36:48.814636,15.063577266666666,2023-03-01,Wednesday,0,False
1523122,2023-03-01 00:22:11,2023-03-01 00:37:33.109414,15.368490233333334,2023-03-01,Wednesday,0,False
1523123,2023-03-01 00:25:44,2023-03-01 00:41:35.374214,15.8562369,2023-03-01,Wednesday,0,False
1523124,2023-03-01 00:29:01,2023-03-01 00:44:16.526633,15.258777216666665,2023-03-01,Wednesday,0,False
1523125,2023-03-01 00:30:09,2023-03-01 00:46:41.759340,16.545989,2023-03-01,Wednesday,0,False
1523126,2023-03-01 00:37:08,2023-03-01 00:52:57.822137,15.83036895,2023-03-01,Wednesday,0,False
1523127,2023-03-01 00:37:10,2023-03-01 01:01:14.587491,24.076458183333333,2023-03-01,Wednesday,0,False
